epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7380.8,1.11509,3.86296,1.18302,0.67928,0.5201,0.58862,0.42961,0.91371,3.06044,1.01536,0.000104111,0.000104111,0.000104111
2,14261.8,1.01745,2.41025,1.12202,0.81829,0.73858,0.82981,0.62381,0.83586,2.14426,0.98057,0.000167172,0.000167172,0.000167172
3,21262,0.94223,1.84738,1.08963,0.88002,0.83499,0.92371,0.70797,0.80952,1.64019,0.96234,0.000188918,0.000188918,0.000188918
4,28378.9,0.87342,1.46818,1.04786,0.89658,0.90394,0.95327,0.76345,0.71193,1.29301,0.91621,0.000127078,0.000127078,0.000127078
5,84198,0.80195,1.2441,1.02061,0.92531,0.93198,0.9656,0.79877,0.65709,1.12805,0.89296,6.5104e-05,6.5104e-05,6.5104e-05
